ID,Name,Description,ImageUrl,ReleaseDate,DiscontinuedDate,Price,Height,Width,Depth,Quantity,Supplier_ID
1,Smartphone,Smartphone de alto rendimiento,/images/smartphone.jpg,2022-01-01,,799.99,15,7,0.8,100,1
2,Laptop,Laptop liviana con SSD,/images/laptop.jpg,2022-02-01,,1299.99,20,10,0.7,50,26
3,Auriculares,Auriculares inalámbricos con cancelación de ruido,/images/headphones.jpg,2022-03-01,,199.99,18,16,8,200,2
4,Cafetera,Cafetera programable,/images/coffee-maker.jpg,2022-04-01,,59.99,12,8,10,75,3
5,Smart Watch,Smartwatch de seguimiento de actividad física,/images/smart-watch.jpg,2022-05-01,,129.99,22,2,1,150,4
6,Mezcladora,Máquina mezcladora de alta velocidad para batidos,/images/blender.jpg,2022-06-01,,79.99,14,10,8,100,5
7,Silla de Escritorio,Silla de oficina ergonómica,/images/desk-chair.jpg,2022-07-01,,199.99,40,25,25,30,6
8,Mochila,Mochila resistente para laptop,/images/backpack.jpg,2022-08-01,,49.99,45,30,15,200,7
9,Altavoz Portátil,Altavoz portátil con Bluetooth,/images/portable-speaker.jpg,2022-09-01,,39.99,10,5,5,150,8
10,TV LED,TV LED inteligente de 55 pulgadas y 4K,/images/led-tv.jpg,2022-10-01,,799.99,30,50,3,20,9
11,Tostadora,Tostadora de acero inoxidable de 2 rebanadas,/images/toaster.jpg,2022-11-01,,29.99,8,12,6,50,10
12,Ratón Gaming,Ratón gaming RGB con botones personalizables,/images/gaming-mouse.jpg,2022-12-01,,49.99,12,7,4,100,11
13,Botella de Agua,Botella de agua aislada de acero inoxidable,/images/water-bottle.jpg,2023-01-01,,19.99,25,7,7,300,12
14,Gafas de Sol,Gafas de sol polarizadas con protección UV,/images/sunglasses.jpg,2023-02-01,,29.99,5,15,5,200,13
15,Disco Duro Externo,Disco duro externo USB 3.0 de 2TB,/images/external-hard-drive.jpg,2023-03-01,,89.99,12,8,2,50,14
16,Máquina para Waffles,Máquina para hacer waffles belgas antiadherente,/images/waffle-maker.jpg,2023-04-01,,39.99,8,10,10,30,15
17,Planta,Planta en maceta para decoración del hogar,/images/plant.jpg,2023-05-01,,29.99,40,15,15,100,16
18,Proyector,Proyector de cine en casa HD,/images/projector.jpg,2023-06-01,,499.99,15,20,15,10,17
19,Teclado Inalámbrico,Teclado inalámbrico compacto,/images/wireless-keyboard.jpg,2023-07-01,,29.99,5,12,0.8,100,18
20,Taladro Inalámbrico,Taladro inalámbrico de 18V con accesorios,/images/cordless-drill.jpg,2023-08-01,,89.99,10,3,3,50,19
21,Celular,Smartphone con cámara de alta resolución,/images/celular.jpg,2023-09-01,,899.99,16,8,1,120,20
22,Caja de Herramientas,Caja de herramientas con múltiples compartimentos,/images/toolbox.jpg,2023-09-01,,69.99,18,10,10,50,21
23,Impresora Multifunción,Impresora láser multifunción con escáner,/images/printer.jpg,2023-10-01,,249.99,15,18,16,30,22
24,Reloj Inteligente,Reloj inteligente con monitor de frecuencia cardíaca,/images/smartwatch.jpg,2023-11-01,,149.99,22,2,1,100,23
25,Horno Tostador,Horno tostador de convección para cocina,/images/toaster-oven.jpg,2023-12-01,,89.99,12,15,12,40,24
26,Silla Gaming,Silla ergonómica para gaming con reposapiés,/images/gaming-chair.jpg,2024-01-01,,199.99,50,25,25,20,25